"Enzyme","sample","maxS","max_pre_decrease_S","Sinhibition","RSS_MM","RSS_INH","pvalue","INHbetter"
"NAG","111",1000,500,TRUE,1512.81360460664,1000.55330099829,0.00358148800515316,TRUE
"NAG","112",1000,500,TRUE,6133.54142192938,553.127636422908,1.91879476398569e-12,TRUE
"NAG","113",1000,500,TRUE,2591.77322693144,425.509980025134,1.07584363858339e-09,TRUE
"NAG","114",1000,500,TRUE,817.754166103587,438.081178147344,0.000343821075885821,TRUE
"NAG","115",1000,1000,FALSE,1790236.03049347,648795.271677913,4.95194686062704e-06,TRUE
"NAG","116",1000,500,TRUE,666039.073901085,149576.550319805,2.98464022070549e-08,TRUE
"NAG","117",1000,500,TRUE,1995575.99278776,697715.617629051,3.3676623494149e-06,TRUE
"NAG","118",1000,500,TRUE,771272.090868258,121944.480985224,7.22060953831734e-10,TRUE
"NAG","119",1000,500,TRUE,3608.68093473071,2266.23355230608,0.00200070692596265,TRUE
"NAG","120",1000,500,TRUE,2426.38585773255,1355.36878158668,0.000544907394636196,TRUE
"NAG","121",1000,500,TRUE,2805.78693543039,1304.45369977756,7.30618746938105e-05,TRUE
"NAG","122",1000,500,TRUE,714.250403284505,341.699744989073,9.97387801367248e-05,TRUE
